centroid_pick_long,centroid_pick_lat,pick_cl,pickup_neighborhood,pickup_county
-73.99708244254298,40.72998029020052,0,Manhattan Community Board 2,New York County
-73.97000958296219,40.765658134635075,1,Manhattan Community Board 8,New York County
-73.84055948791347,40.73119987542653,2,Queens,Queens County
-73.90637519680078,40.86056736584528,3,The Bronx,Bronx County
-73.95443998087464,40.71846922285327,4,Williamsburg,Kings County
-73.95616114204725,40.67904592827216,5,Prospect Heights,Kings County
-73.98704517671766,40.684270899944956,6,Boerum Hill Historic District,Kings County
-73.92055567165171,40.76031041847957,7,Queens,Queens County
-73.93479360850765,40.827626555544136,8,Manhattan Community Board 10,New York County
-73.79579508083346,40.68800189641997,9,Queens,Queens County
-73.96886576763873,40.617355011784504,10,Midwood,Kings County
-73.950123029034,40.80160851697269,11,Manhattan Community Board 10,New York County
-73.85989212188781,40.84179296997032,12,The Bronx,Bronx County
-73.88230296574713,40.74837339431613,13,Queens,Queens County
-73.91874351034605,40.685469799037094,14,Bed-Stuy Gateway Business Improvement District,Kings County
