centroid_pick_long,centroid_pick_lat,centroid_drop_long,centroid_drop_lat,cluster,pickup_neighborhood,pickup_county,dropoff_neighborhood,dropoff_county,trip_number
-73.96467482,40.6119221,-73.96046661,40.60888956,0,Gravesend,Kings County,Midwood,Kings County,10691
-73.94749901,40.80854724,-73.98009882,40.75754311,1,Manhattan Community Board 10,New York County,Manhattan Community Board 5,New York County,58787
-73.95438178,40.71605931,-73.95055479,40.71008034,2,Williamsburg,Kings County,Williamsburg,Kings County,88337
-73.94598013,40.7366628,-73.79087411,40.66434615,3,Greenpoint,Kings County,Queens,Queens County,10442
-73.93328632,40.82717095,-73.92217858,40.83746325,4,Manhattan Community Board 10,Bronx County,The Bronx,Bronx County,74346
-73.87767287,40.74422129,-73.87675494,40.7459272,5,Queens,Queens County,Queens,Queens County,98569
-73.94736569,40.8056142,-73.94989534,40.80295106,6,Manhattan Community Board 10,New York County,Manhattan Community Board 10,New York County,173779
-73.83208838,40.71978399,-73.81799066,40.71217339,7,Queens,Queens County,Queens,Queens County,47223
-73.96459124,40.7012831,-73.91031697,40.7720439,8,Clinton Hill,Kings County,Queens,Queens County,16243
-73.97256948,40.69836597,-73.98959781,40.73470438,9,Fort Greene,Kings County,Manhattan Community Board 5,New York County,64203
-73.91856642,40.7612327,-73.91046071,40.7600588,10,Queens,Queens County,Queens,Queens County,91581
-73.88360103,40.85069104,-73.8810708,40.85069334,11,The Bronx,Bronx County,The Bronx,Bronx County,32395
-73.98103345,40.68451366,-73.98254091,40.67827273,12,Boerum Hill,Kings County,Carroll Gardens,Kings County,127641
-73.95190778,40.68097866,-73.93593659,40.67556674,13,Bed-Stuy Gateway Business Improvement District,Kings County,Eastern Parkway,Kings County,70762
-73.91101395,40.75103317,-73.96870805,40.74558144,14,Queens,Queens County,Manhattan Community Board 6,Manhattan,31381
