centroid_pick_long,centroid_pick_lat,pick_cl,pickup_neighborhood,pickup_county
-73.97090407138185,40.758369924050285,0,Manhattan Community Board 5,Manhattan
-73.78556822943581,40.65066897963492,1,Queens,Queens County
-73.86604093882626,40.767613428559095,2,Queens,Queens County
-73.98921676603476,40.72689097092892,3,Manhattan Community Board 3,New York County
-73.9724965160094,40.78989116905767,4,Manhattan Community Board 7,New York County
-73.98646936108699,40.764058995703884,5,Manhattan Community Board 5,New York County
-74.00795707438724,40.71317618308,6,Manhattan Community Board 1,New York County
-73.94601043254207,40.70628043954269,7,Greenpoint,Kings County
-73.95494277098851,40.77642841875029,8,Manhattan Community Board 8,New York County
-74.00213267812481,40.73954087058195,9,Manhattan Community Board 2,New York County
-73.980168420732,40.67069596304833,10,Park Slope,Kings County
-73.92024020656673,40.75650582608321,11,Queens,Queens County
-73.93803600059847,40.82469188666564,12,Manhattan Community Board 10,New York County
-74.17468143923395,40.689267378887024,13,Terminal B Level 3,Newark
-73.98608562955786,40.74645271884164,14,Manhattan Community Board 5,New York County
